date,polarity,sentiment,keyword
2018-08-24 01:57:07,neutral,0.0,climate change
2018-08-24 01:57:18,neutral,0.0,warming
2018-08-24 01:58:07,positive,0.04999999999999999,climate change
2018-08-24 01:58:01,positive,0.3666666666666667,warming
2018-08-24 01:58:11,positive,0.2,climate change
2018-08-24 01:58:29,positive,0.2857142857142857,climate change
2018-08-24 01:59:15,neutral,0.0,climate change
2018-08-24 01:59:15,neutral,0.0,climate change
2018-08-24 01:58:41,positive,0.13636363636363635,climate change
2018-08-24 01:59:16,neutral,0.0,climate change
2018-08-24 01:59:54,positive,0.53125,climate change
2018-08-24 01:59:54,neutral,0.0,coal
2018-08-24 01:59:25,neutral,0.0,warming
2018-08-24 01:59:46,neutral,0.0,oil
2018-08-24 02:00:00,neutral,0.0,warming
2018-08-24 02:00:07,neutral,0.0,renewable
2018-08-24 02:00:47,positive,0.8,climate change
2018-08-24 02:00:35,neutral,0.0,climate change
2018-08-24 02:00:00,positive,0.2,climate change
2018-08-24 02:00:04,positive,0.45,climate change
2018-08-24 02:00:08,neutral,0.0,climate change
2018-08-24 02:00:45,positive,0.041666666666666664,climate change
2018-08-24 02:00:34,neutral,0.0,climate change
2018-08-24 02:00:44,positive,0.1875,climate change
2018-08-24 02:00:30,neutral,0.0,climate change
2018-08-24 02:00:30,neutral,0.0,climate change
2018-08-24 02:00:40,neutral,0.0,climate change
2018-08-24 02:00:07,neutral,0.0,renewable
2018-08-24 02:00:10,negative,-0.5,climate change
2018-08-24 02:01:42,positive,0.15,warming
2018-08-24 02:01:44,neutral,0.0,climate change
2018-08-24 02:02:01,positive,0.11534090909090909,climate change
2018-08-24 02:02:17,positive,0.1,warming
2018-08-24 02:02:10,negative,-0.05000000000000001,climate change
2018-08-24 02:02:14,neutral,0.0,oil
2018-08-24 02:01:50,positive,0.75,climate change
2018-08-24 02:02:11,positive,0.06666666666666667,climate change
2018-08-24 02:01:47,neutral,0.0,warming
2018-08-24 02:02:35,positive,0.13000000000000003,climate change
2018-08-24 02:02:58,positive,0.125,warming
2018-08-24 02:02:53,neutral,0.0,climate change
2018-08-24 02:02:53,neutral,0.0,climate change
2018-09-05 18:16:04,positive,0.25,warming
2018-09-05 18:16:11,neutral,0.0,climate change
2018-09-05 18:16:18,neutral,0.0,warming
2018-09-05 18:16:25,neutral,0.0,climate change
2018-09-05 18:16:25,neutral,0.0,climate change
2018-09-05 18:17:14,positive,0.5,climate change
2018-09-05 18:17:20,positive,0.04545454545454545,warming
2018-09-05 18:16:57,neutral,0.0,warming
2018-09-05 18:17:00,negative,-0.2916666666666667,climate change
2018-09-05 18:16:59,neutral,0.0,warming
2018-09-05 18:17:02,negative,-0.25,warming
2018-09-05 18:17:16,positive,0.11250000000000002,warming
2018-09-05 18:17:45,positive,0.04545454545454545,warming
2018-09-05 18:17:29,neutral,0.0,climate change
2018-09-05 18:17:35,positive,0.1,climate change
2018-09-05 18:18:07,neutral,0.0,climate change
2018-09-05 18:17:40,negative,-0.375,climate change
2018-09-05 18:17:30,neutral,0.0,climate change
2018-09-05 18:17:33,negative,-0.13333333333333333,warming
2018-09-05 18:18:37,positive,0.1,climate change
2018-09-05 18:18:48,neutral,0.0,climate change
2018-09-05 18:18:35,neutral,0.0,climate change
2018-09-05 18:18:18,neutral,0.0,climate change
2018-09-05 18:18:18,neutral,0.0,climate change
2018-09-05 18:19:00,positive,0.21103896103896103,climate change
2018-09-05 18:18:30,positive,0.25,climate change
2018-09-05 18:19:42,positive,0.5,climate change
2018-09-05 18:20:24,neutral,0.0,warming
2018-09-05 18:19:33,positive,0.25,climate change
2018-09-05 18:20:18,neutral,0.0,climate change
2018-09-05 18:20:10,neutral,0.0,climate change
2018-09-05 18:20:08,positive,0.5,warming
2018-09-05 18:19:57,negative,-1.0,climate change
2018-09-05 18:21:35,positive,0.3666666666666667,warming
2018-09-05 18:21:11,neutral,0.0,climate change
2018-09-05 18:21:10,negative,-0.43333333333333335,climate change
2018-09-05 18:22:51,negative,-0.0625,warming
2018-09-05 18:21:59,negative,-0.4,warming
2018-09-05 18:22:00,negative,-0.03571428571428571,warming
2018-09-05 18:22:28,neutral,0.0,climate change
2018-09-05 18:22:46,neutral,0.0,climate change
2018-09-05 18:23:24,neutral,0.0,warming
2018-09-05 18:23:54,positive,0.6,climate change
2018-09-05 18:23:35,negative,-0.3,climate change
2018-09-05 18:23:37,positive,0.5,climate change
2018-09-05 18:23:00,positive,0.09375,climate change
2018-09-05 18:23:22,neutral,0.0,climate change
2018-09-05 18:23:51,neutral,0.0,climate change
2018-09-05 18:23:51,neutral,0.0,climate change
2018-09-05 18:23:48,positive,0.2,climate change
2018-09-05 18:24:06,neutral,0.0,climate change
2018-09-05 18:24:03,positive,0.1037037037037037,climate change
2018-09-05 18:24:03,positive,0.1037037037037037,climate change
2018-09-05 18:24:03,positive,0.1037037037037037,climate change
2018-09-05 18:23:52,positive,0.5199999999999999,climate change
